시도코드,시군구코드,시군구명
11,0,서울
11,10,종로구
11,20,중구
11,30,용산구
11,40,성동구
11,50,광진구
11,60,동대문구
11,70,중랑구
11,80,성북구
11,90,강북구
11,100,도봉구
11,110,노원구
11,120,은평구
11,130,서대문구
11,140,마포구
11,150,양천구
11,160,강서구
11,170,구로구
11,180,금천구
11,190,영등포구
11,200,동작구
11,210,관악구
11,220,서초구
11,230,강남구
11,240,송파구
11,250,강동구
21,0,부산
21,10,중구
21,20,서구
21,30,동구
21,40,영도구
21,50,부산진구
21,60,동래구
21,70,남구
21,80,북구
21,90,해운대구
21,100,사하구
21,110,금정구
21,120,강서구
21,130,연제구
21,140,수영구
21,150,사상구
21,310,기장군
22,0,대구
22,10,중구
22,20,동구
22,30,서구
22,40,남구
22,50,북구
22,60,수성구
22,70,달서구
22,310,달성군
23,0,인천
23,10,중구
23,20,동구
23,40,연수구
23,50,남동구
23,60,부평구
23,70,계양구
23,80,서구
23,90,미추홀구
23,310,강화군
23,320,옹진군
24,0,광주
24,10,동구
24,20,서구
24,30,남구
24,40,북구
24,50,광산구
25,0,대전
25,10,동구
25,20,중구
25,30,서구
25,40,유성구
25,50,대덕구
26,0,울산
26,10,중구
26,20,남구
26,30,동구
26,40,북구
26,310,울주군
29,0,세종
29,10,세종
31,0,경기
31,10,수원시
31,11,장안구
31,12,권선구
31,13,팔달구
31,14,영통구
31,20,성남시
31,21,수정구
31,22,중원구
31,23,분당구
31,30,의정부시
31,40,안양시
31,41,만안구
31,42,동안구
31,50,부천시
31,60,광명시
31,70,평택시
31,80,동두천시
31,90,안산시
31,91,상록구
31,92,단원구
31,100,고양시
31,101,덕양구
31,103,일산동구
31,104,일산서구
31,110,과천시
31,120,구리시
31,130,남양주시
31,140,오산시
31,150,시흥시
31,160,군포시
31,170,의왕시
31,180,하남시
31,190,용인시
31,191,처인구
31,192,기흥구
31,193,수지구
31,200,파주시
31,210,이천시
31,220,안성시
31,230,김포시
31,240,화성시
31,250,광주시
31,260,양주시
31,270,포천시
31,280,여주시
31,350,연천군
31,370,가평군
31,380,양평군
32,0,강원
32,10,춘천시
32,20,원주시
32,30,강릉시
32,40,동해시
32,50,태백시
32,60,속초시
32,70,삼척시
32,310,홍천군
32,320,횡성군
32,330,영월군
32,340,평창군
32,350,정선군
32,360,철원군
32,370,화천군
32,380,양구군
32,390,인제군
32,400,고성군
32,410,양양군
33,0,충북
33,20,충주시
33,30,제천시
33,40,청주시
33,41,상당구
33,42,서원구
33,43,흥덕구
33,44,청원구
33,320,보은군
33,330,옥천군
33,340,영동군
33,350,진천군
33,360,괴산군
33,370,음성군
33,380,단양군
33,390,증평군
34,0,충남
34,10,천안시
34,11,동남구
34,12,서북구
34,20,공주시
34,30,보령시
34,40,아산시
34,50,서산시
34,60,논산시
34,70,계룡시
34,80,당진시
34,310,금산군
34,330,부여군
34,340,서천군
34,350,청양군
34,360,홍성군
34,370,예산군
34,380,태안군
35,0,전북
35,10,전주시
35,11,완산구
35,12,덕진구
35,20,군산시
35,30,익산시
35,40,정읍시
35,50,남원시
35,60,김제시
35,310,완주군
35,320,진안군
35,330,무주군
35,340,장수군
35,350,임실군
35,360,순창군
35,370,고창군
35,380,부안군
36,0,전남
36,10,목포시
36,20,여수시
36,30,순천시
36,40,나주시
36,60,광양시
36,310,담양군
36,320,곡성군
36,330,구례군
36,350,고흥군
36,360,보성군
36,370,화순군
36,380,장흥군
36,390,강진군
36,400,해남군
36,410,영암군
36,420,무안군
36,430,함평군
36,440,영광군
36,450,장성군
36,460,완도군
36,470,진도군
36,480,신안군
37,0,경북
37,10,포항시
37,11,남구
37,12,북구
37,20,경주시
37,30,김천시
37,40,안동시
37,50,구미시
37,60,영주시
37,70,영천시
37,80,상주시
37,90,문경시
37,100,경산시
37,310,군위군
37,320,의성군
37,330,청송군
37,340,영양군
37,350,영덕군
37,360,청도군
37,370,고령군
37,380,성주군
37,390,칠곡군
37,400,예천군
37,410,봉화군
37,420,울진군
37,430,울릉군
38,0,경남
38,30,진주시
38,50,통영시
38,60,사천시
38,70,김해시
38,80,밀양시
38,90,거제시
38,100,양산시
38,110,창원시
38,111,의창구
38,112,성산구
38,113,마산합포구
38,114,마산회원구
38,115,진해구
38,310,의령군
38,320,함안군
38,330,창녕군
38,340,고성군
38,350,남해군
38,360,하동군
38,370,산청군
38,380,함양군
38,390,거창군
38,400,합천군
39,0,제주
39,10,제주시
39,20,서귀포시
